ECG signal fs= 1000 Hz
     (0.001 sec)	   (mV)
263   1.41195088872574E+0000
264   1.92448086144036E+0000
265   2.32475384001008E+0000
266   2.32375443267729E+0000
267   1.84922558186250E+0000
268   1.12917762420536E+0000
269   6.16647651490746E-0001
270   6.17647058823530E-0001
271   1.20443290378322E+0000
272   2.09317531697111E+0000
273   2.81322327462824E+0000
274   2.92448086144036E+0000
275   2.33769501648067E+0000
276   1.33669560914788E+0000
277   4.47953195959996E-0001
278   1.42118800675953E-0001
279   6.03706475020156E-0001
280   1.59176470588235E+0000
281   2.57982293674454E+0000
282   3.04141061108876E+0000
283   2.74851739227530E+0000
284   1.84683380261683E+0000
285   8.32893218813452E-0001
286   2.33166197383173E-0001
287   3.44423784195286E-0001
288   1.05153056538183E+0000
289   1.94027297856972E+0000
290   2.52705882352941E+0000
291   2.52805823086219E+0000
292   2.00258708167699E+0000
293   1.29548030049044E+0000
294   8.20951449675647E-0001
295   8.19952042342862E-0001
296   1.23316619738317E+0000
297   1.74569617009779E+0000
298   2.02564821244066E+0000
299   1.91439062562855E+0000
300   1.47529411764706E+0000
301   1.06207996260675E+0000
302   9.37881199324047E-0001
303   1.23077441813750E+0000
304   1.73036321438153E+0000
305   2.14357736942184E+0000
306   2.12963678561847E+0000
307   1.65510793480368E+0000
308   9.48001153617133E-0001
309   4.22530004431926E-0001
310   4.23529411764710E-0001
311   9.97374080253809E-0001
312   1.88611649344170E+0000
313   2.59322327462824E+0000
314   2.70448086144036E+0000
315   2.11769501648067E+0000
316   1.12963678561847E+0000
317   2.27953195959996E-0001
318  -6.49400228534568E-0002
319   3.96647651490746E-0001
320   1.38470588235294E+0000
321   2.37276411321513E+0000
322   2.84729296402993E+0000
323   2.54145856874588E+0000
324   1.63977497908742E+0000
325   6.25834395284042E-0001
326   3.90485503243534E-0002
327   1.50306137136466E-0001
328   8.57412918323013E-0001
329   1.74615533151090E+0000
330   2.33294117647059E+0000
331   2.34688176027396E+0000
332   1.80846943461817E+0000
333   1.10136265343162E+0000
334   6.39774979087417E-0001
335   6.38775571754632E-0001
336   1.05198972679494E+0000
337   1.57746087598015E+0000
338   1.87035409479360E+0000
339   1.74615533151090E+0000
340   1.32000000000000E+0000
341   9.06785844959689E-0001
342   7.82587081676987E-0001
343   1.06253912401985E+0000
344   1.57506909673448E+0000
345   1.98828325177479E+0000
346   1.97434266797141E+0000
347   1.49981381715662E+0000
348   7.92707035970073E-0001
349   2.67235886784866E-0001
350   2.68235294117650E-0001
351   8.67962315547929E-0001
352   1.75670472873582E+0000
353   2.46381150992236E+0000
354   2.58801027320506E+0000
355   2.00122442824537E+0000
356   1.01316619738317E+0000
357   1.24423784195285E-0001
358  -1.68469434618167E-0001
359   3.06059416196626E-0001
360   1.30705882352941E+0000
361   2.29511705439160E+0000
362   2.76964590520640E+0000
363   2.46381150992236E+0000
364   1.57506909673448E+0000
365   5.61128512931102E-0001
366  -2.56573320285866E-0002
